                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.62521,                 1.0885,                 1.0448,                0.87701,                0.81475,                0.82606,                0.69064,                0.68049,                0.96359,                  1.111,             0.00093862,             0.00093862,             0.00093862
                     64,                0.66401,                 1.1539,                 1.0395,                0.94003,                0.74736,                0.86366,                0.71756,                0.66725,                0.94409,                 1.0974,             0.00093763,             0.00093763,             0.00093763
                     65,                0.62509,                 1.0978,                 1.0514,                0.90577,                0.79119,                0.87145,                0.72391,                0.66649,                0.93156,                 1.0897,             0.00093664,             0.00093664,             0.00093664
                     66,                0.62731,                 1.0887,                 1.0319,                0.94058,                0.76902,                0.87518,                0.74017,                0.66156,                0.92346,                 1.0852,             0.00093565,             0.00093565,             0.00093565
                     67,                0.61794,                 1.0732,                 1.0279,                0.95716,                 0.7546,                0.87101,                0.72802,                0.67797,                0.94381,                 1.0844,             0.00093466,             0.00093466,             0.00093466
                     68,                0.59251,                   1.06,                 1.0091,                 0.9669,                0.75995,                0.87254,                0.73715,                0.67838,                0.97488,                 1.0927,             0.00093367,             0.00093367,             0.00093367
                     69,                0.60208,                 1.0976,                 1.0344,                0.85462,                0.83738,                0.85803,                0.71056,                0.69493,                 1.0053,                 1.1048,             0.00093268,             0.00093268,             0.00093268
                     70,                 0.6375,                 1.0626,                 1.0356,                0.92175,                0.79562,                0.85063,                0.69957,                0.68807,                0.99791,                 1.1007,             0.00093169,             0.00093169,             0.00093169
                     71,                 0.6256,                 1.0516,                 1.0342,                0.91834,                0.79824,                0.84935,                0.70798,                0.68756,                0.99059,                 1.1012,              0.0009307,              0.0009307,              0.0009307
                     72,                0.57892,                 1.0393,                 1.0153,                0.93549,                0.80431,                0.85056,                0.70242,                0.66773,                 1.0007,                 1.0931,             0.00092971,             0.00092971,             0.00092971
                     73,                0.60887,                 1.0465,                 1.0022,                 0.9304,                0.81682,                0.85474,                0.71603,                0.65983,                0.96377,                 1.0923,             0.00092872,             0.00092872,             0.00092872
                     74,                0.57494,                0.98538,                 1.0102,                0.91398,                0.83681,                0.85351,                0.70678,                0.68977,                0.96561,                 1.1114,             0.00092773,             0.00092773,             0.00092773
                     75,                0.60582,                 1.0451,                 1.0256,                0.94902,                0.79352,                0.86996,                0.73297,                0.68005,                0.98857,                 1.0984,             0.00092674,             0.00092674,             0.00092674
                     76,                0.61871,                 1.0825,                 1.0376,                0.95597,                0.80022,                0.87564,                0.73789,                0.69486,                 0.9441,                 1.1146,             0.00092575,             0.00092575,             0.00092575
                     77,                0.55677,                  1.081,                 1.0118,                0.97494,                0.77934,                0.87564,                0.73153,                0.70498,                0.91051,                 1.1231,             0.00092476,             0.00092476,             0.00092476
                     78,                0.55179,                0.97544,                0.98851,                0.92218,                0.82456,                0.87464,                 0.7247,                0.71059,                0.91435,                 1.1292,             0.00092377,             0.00092377,             0.00092377
                     79,                0.57464,                 1.0143,                 1.0194,                0.98288,                0.82176,                0.87764,                0.73935,                0.70396,                0.84636,                 1.1245,             0.00092278,             0.00092278,             0.00092278
                     80,                0.58452,                 1.0424,                 1.0162,                0.96216,                0.81349,                0.86659,                0.72542,                0.70029,                0.87517,                 1.1244,             0.00092179,             0.00092179,             0.00092179
                     81,                0.58743,                 1.0308,                 1.0211,                0.95054,                0.80252,                0.86659,                 0.7281,                0.70372,                0.91589,                 1.1319,              0.0009208,              0.0009208,              0.0009208
                     82,                0.56437,                0.95586,                0.98869,                0.93749,                0.80284,                0.86755,                0.73754,                0.69739,                0.91257,                 1.1279,             0.00091981,             0.00091981,             0.00091981
                     83,                0.58803,                 1.0082,                 1.0355,                0.97265,                0.83976,                0.88803,                0.74528,                0.69757,                0.87001,                 1.1207,             0.00091882,             0.00091882,             0.00091882
                     84,                0.56457,                 1.0276,                  1.014,                0.96799,                0.82891,                0.88804,                 0.7408,                0.71477,                0.88987,                 1.1333,             0.00091783,             0.00091783,             0.00091783
                     85,                 0.5755,                0.99538,                 1.0097,                0.94929,                0.84223,                0.88181,                0.74199,                0.68996,                0.88348,                  1.111,             0.00091684,             0.00091684,             0.00091684
                     86,                0.57333,                 1.0042,                 1.0099,                0.95387,                0.84053,                0.88181,                0.74633,                 0.6751,                 0.8586,                 1.1084,             0.00091585,             0.00091585,             0.00091585
                     87,                0.58612,                 1.0262,                 1.0158,                0.86688,                0.82233,                0.86455,                0.70689,                0.70012,                0.90193,                 1.1282,             0.00091486,             0.00091486,             0.00091486
                     88,                0.57966,                0.97802,                 1.0067,                0.93762,                0.81003,                0.88528,                 0.7329,                0.69106,                0.86358,                 1.1185,             0.00091387,             0.00091387,             0.00091387
                     89,                 0.5652,                0.96966,                 1.0138,                 0.9241,                0.82434,                0.88177,                0.72253,                 0.7088,                0.89235,                 1.1162,             0.00091288,             0.00091288,             0.00091288
                     90,                0.54567,                0.96993,                 1.0039,                0.92317,                0.84213,                0.88802,                0.73325,                0.69497,                0.87913,                 1.0998,             0.00091189,             0.00091189,             0.00091189
                     91,                0.58044,                 1.0196,                 1.0087,                0.77926,                0.84476,                0.88802,                0.74753,                0.67363,                0.86738,                 1.0835,              0.0009109,              0.0009109,              0.0009109
                     92,                0.55602,                0.92195,                 1.0016,                0.94013,                0.79729,                0.88177,                 0.7534,                0.68086,                0.84866,                 1.0877,             0.00090991,             0.00090991,             0.00090991
                     93,                0.55798,                0.95013,                 1.0099,                0.96847,                0.79717,                0.88802,                0.74798,                0.68593,                0.84044,                 1.0937,             0.00090892,             0.00090892,             0.00090892
                     94,                0.55955,                 0.9693,                 1.0047,                0.97234,                0.80436,                0.88386,                0.73162,                0.70561,                0.84071,                 1.1058,             0.00090793,             0.00090793,             0.00090793
                     95,                0.58463,                0.94765,                 1.0139,                0.95036,                0.82635,                0.88233,                0.74136,                0.70786,                0.86138,                 1.1119,             0.00090694,             0.00090694,             0.00090694
                     96,                0.56797,                0.96401,                 1.0127,                0.95507,                 0.8193,                0.88233,                0.74058,                0.70463,                 0.8649,                 1.1065,             0.00090595,             0.00090595,             0.00090595
